"","outcome","exposure","method","nsnp","b","se","pval","Q","Q_df","Q_pval","egger_intercept","egger_intercept_se","egger_intercept_pval","pmid","year","author","consortium","subcategory","ncase","ncontrol","sample_size","unit","sd","sex","population"
"232","Ulcerative colitis","Triglycerides","Inverse variance weighted",38,-0.00997330810799033,0.0549626350338733,0.85600954952559,72.5340041298325,37,0.000429917373687519,NA,NA,NA,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",6968,20464,27432,"log odds",NA,"Males and females","European"
"233","Ulcerative colitis","Triglycerides","MR Egger",38,-0.00125962265063277,0.0659602608357648,0.984869423241237,74.4233813535922,36,0.000173549228377582,0.00168467493157219,0.00683869847329902,0.806814921185593,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",6968,20464,27432,"log odds",NA,"Males and females","European"
"234","Ulcerative colitis","Triglycerides","Weighted median",38,0.0185165882075784,0.0456807717946888,0.685222070614031,NA,NA,NA,NA,NA,NA,26192919,2015,"Liu","IIBDGC","Autoimmune / inflammatory",6968,20464,27432,"log odds",NA,"Males and females","European"
"235","Age of smoking initiation","Triglycerides","Inverse variance weighted",38,0.000100668426938101,0.0139327224782713,0.99423507610415,19.8410005547683,37,0.990550139388888,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,47961,"log years",0.34,"Males and females","European"
"236","Age of smoking initiation","Triglycerides","MR Egger",38,0.00534080606674664,0.0167608981851726,0.75183580938671,20.0758163795081,36,0.985232069518685,0.000882846343717401,0.00156971093145657,0.577311479348608,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,47961,"log years",0.34,"Males and females","European"
"237","Age of smoking initiation","Triglycerides","Weighted median",38,0.00732258791146655,0.0159439478113187,0.646039792882706,NA,NA,NA,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,47961,"log years",0.34,"Males and females","European"
"238","Alcohol dependence","Triglycerides","Inverse variance weighted",26,0.0566958009680843,0.226300078332415,0.802174629441272,22.8130186617249,25,0.588480987612064,NA,NA,NA,22978509,2012,"Olfson",NA,"Behavioural",1897,1932,3829,"log odds",NA,"Males and females","Mixed"
"239","Alcohol dependence","Triglycerides","MR Egger",26,-0.0570669588235003,0.363168378949137,0.876451861589398,23.6031491285219,24,0.484467890052385,-0.00748362566583134,0.0186850239784841,0.692320548278352,22978509,2012,"Olfson",NA,"Behavioural",1897,1932,3829,"log odds",NA,"Males and females","Mixed"
"240","Alcohol dependence","Triglycerides","Weighted median",26,0.109076808863498,0.319259747273312,0.732610258399321,NA,NA,NA,NA,NA,NA,22978509,2012,"Olfson",NA,"Behavioural",1897,1932,3829,"log odds",NA,"Males and females","Mixed"
"241","Cigarettes smoked per day","Triglycerides","Inverse variance weighted",38,-0.0161817444463151,0.0157692658605187,0.304817529480541,31.7089219179781,37,0.715171014117023,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,68028,"Cigarettes per day",11.69784541,"Males and females","European"
"242","Cigarettes smoked per day","Triglycerides","MR Egger",38,-0.0150519464002835,0.0192498519982843,0.439371240803671,32.5792529569509,36,0.632076893470763,0.000170680721395045,0.00166787095017825,0.91905908729455,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,68028,"Cigarettes per day",11.69784541,"Males and females","European"
"243","Cigarettes smoked per day","Triglycerides","Weighted median",38,-0.0181709132018982,0.0195782547492726,0.353346825547057,NA,NA,NA,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",NA,NA,68028,"Cigarettes per day",11.69784541,"Males and females","European"
"244","Ever vs never smoked","Triglycerides","Inverse variance weighted",38,-0.0238753334453666,0.0262146562628616,0.362420372838152,32.8562646314845,37,0.663711870295543,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",41969,32066,74035,"log odds",NA,"Males and females","European"
"245","Ever vs never smoked","Triglycerides","MR Egger",38,0.0117167379747441,0.0319556680107774,0.716021936283947,29.9756437410304,36,0.749889833330001,0.0054154521366017,0.00278052252561035,0.0592897247991535,20418890,2010,"Furberg","TAG","Behavioural",41969,32066,74035,"log odds",NA,"Males and females","European"
"246","Ever vs never smoked","Triglycerides","Weighted median",38,0.000990244861014575,0.0325812308022097,0.975753541472854,NA,NA,NA,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",41969,32066,74035,"log odds",NA,"Males and females","European"
"247","Former vs current smoker","Triglycerides","Inverse variance weighted",38,-0.0822833111653827,0.0393653092673178,0.0365954086932573,46.4660987028194,37,0.136855712758974,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",23554,18415,41969,"log odds",NA,"Males and females","European"
"248","Former vs current smoker","Triglycerides","MR Egger",38,-0.121085001420773,0.0469418318201053,0.0141255299133925,45.0665636103626,36,0.142943450347032,-0.00618859652857523,0.00422154097650465,0.151340942676589,20418890,2010,"Furberg","TAG","Behavioural",23554,18415,41969,"log odds",NA,"Males and females","European"
"249","Former vs current smoker","Triglycerides","Weighted median",38,-0.0917270724725288,0.0451268792567535,0.0420880723576042,NA,NA,NA,NA,NA,NA,20418890,2010,"Furberg","TAG","Behavioural",23554,18415,41969,"log odds",NA,"Males and females","European"
"250","Paget's disease","Triglycerides","Inverse variance weighted",38,-0.229887189465772,0.136862881664371,0.0930176809156124,39.6652642191226,37,0.35203461452934,NA,NA,NA,21623375,2011,"Albagha OM",NA,"Bone",741,2699,3440,"log odds",NA,"Males and females","European"
"251","Paget's disease","Triglycerides","MR Egger",38,0.00256618037486088,0.159108413216659,0.987220931488631,34.2685666904292,36,0.551095766134476,0.0353862461036515,0.0138812182857135,0.01520153923427,21623375,2011,"Albagha OM",NA,"Bone",741,2699,3440,"log odds",NA,"Males and females","European"
"252","Paget's disease","Triglycerides","Weighted median",38,-0.0207020491603845,0.166749390386852,0.901195976645988,NA,NA,NA,NA,NA,NA,21623375,2011,"Albagha OM",NA,"Bone",741,2699,3440,"log odds",NA,"Males and females","European"
"253","Glioma","Triglycerides","Inverse variance weighted",15,-0.102634221999481,0.206795218985411,0.619676780188786,8.8137856818043,14,0.842791231024457,NA,NA,NA,22886559,2013,"Rajaraman P","GliomaScan","Cancer",1856,4955,6811,"log odds",NA,"Males and females","European"
"254","Glioma","Triglycerides","MR Egger",15,0.11427156096087,0.306598837579631,0.715372409081607,8.5735526010143,13,0.804334691339838,0.0177749434847855,0.0185496474464776,0.355426542960116,22886559,2013,"Rajaraman P","GliomaScan","Cancer",1856,4955,6811,"log odds",NA,"Males and females","European"
"255","Glioma","Triglycerides","Weighted median",15,0.0644450488692426,0.29257995973635,0.825664978918588,NA,NA,NA,NA,NA,NA,22886559,2013,"Rajaraman P","GliomaScan","Cancer",1856,4955,6811,"log odds",NA,"Males and females","European"
"256","Lung adenocarcinoma","Triglycerides","Inverse variance weighted",37,0.0997625184398027,0.0515956644664904,0.0531691443328633,37.2200939142403,36,0.412683306879175,NA,NA,NA,24880342,2014,"Wang Y","ILCCO","Cancer",3442,14894,18336,"log odds",NA,"Males and females","European"
"257","Lung adenocarcinoma","Triglycerides","MR Egger",37,0.115901663796476,0.0618285375605598,0.0692179401522304,38.026941030845,35,0.333202163235644,0.00312049302711385,0.00642125604256638,0.630022132020874,24880342,2014,"Wang Y","ILCCO","Cancer",3442,14894,18336,"log odds",NA,"Males and females","European"
"258","Lung adenocarcinoma","Triglycerides","Weighted median",37,0.132493916552074,0.0614835982056991,0.0311659550883246,NA,NA,NA,NA,NA,NA,24880342,2014,"Wang Y","ILCCO","Cancer",3442,14894,18336,"log odds",NA,"Males and females","European"
"259","Lung cancer","Triglycerides","Inverse variance weighted",37,0.0546197114681358,0.0423704348911072,0.197363456063909,55.5844007886721,36,0.0195937323976617,NA,NA,NA,24880342,2014,"Wang Y","ILCCO","Cancer",11348,15861,27209,"log odds",NA,"Males and females","European"
"260","Lung cancer","Triglycerides","MR Egger",37,0.0567388330796313,0.0510884475055024,0.274312344011771,57.1629240647127,35,0.0104206767722598,0.000396145907818133,0.00516638895230809,0.939316736906047,24880342,2014,"Wang Y","ILCCO","Cancer",11348,15861,27209,"log odds",NA,"Males and females","European"
"261","Lung cancer","Triglycerides","Weighted median",37,0.0585176013725889,0.0406874876053414,0.150371342830783,NA,NA,NA,NA,NA,NA,24880342,2014,"Wang Y","ILCCO","Cancer",11348,15861,27209,"log odds",NA,"Males and females","European"
"262","Melanoma","Triglycerides","Inverse variance weighted",31,-0.0103201239113356,0.100818498497341,0.918468236571568,18.7149634073424,30,0.945775575696019,NA,NA,NA,21926416,2011,"Amos CI","MDACC","Cancer",1804,1026,2830,"log odds",NA,"Males and females","European"
"263","Melanoma","Triglycerides","MR Egger",31,0.0493344425066548,0.11784630315043,0.678568082614806,18.4045447798628,29,0.935607969403141,0.0126608499963002,0.0129505418519918,0.3363423972479,21926416,2011,"Amos CI","MDACC","Cancer",1804,1026,2830,"log odds",NA,"Males and females","European"
"264","Melanoma","Triglycerides","Weighted median",31,0.0412879728380356,0.112353127060277,0.713258049018082,NA,NA,NA,NA,NA,NA,21926416,2011,"Amos CI","MDACC","Cancer",1804,1026,2830,"log odds",NA,"Males and females","European"
"265","Neuroblastoma","Triglycerides","Inverse variance weighted",16,-0.024716480673652,0.218273393618539,0.909843184110102,14.0475544595502,15,0.521925582960824,NA,NA,NA,23222812,2013,"Capasso M",NA,"Cancer",1627,3254,4881,"log odds",NA,"Males and females","European"
"266","Neuroblastoma","Triglycerides","MR Egger",16,-0.300766620148547,0.370810513186732,0.43087882166687,14.1870211166321,14,0.435872819954556,-0.0187896478932694,0.0203498368298528,0.371474790487057,23222812,2013,"Capasso M",NA,"Cancer",1627,3254,4881,"log odds",NA,"Males and females","European"
"267","Neuroblastoma","Triglycerides","Weighted median",16,0.103465050647324,0.312319932341936,0.740433714006874,NA,NA,NA,NA,NA,NA,23222812,2013,"Capasso M",NA,"Cancer",1627,3254,4881,"log odds",NA,"Males and females","European"
"268","Pancreatic cancer","Triglycerides","Inverse variance weighted",17,-0.0316773720043677,0.248872400345988,0.898715949737346,16.1119932042084,16,0.445172172795774,NA,NA,NA,19648918,2009,"Amundadottir L","PanScan1","Cancer",1896,1939,3835,"log odds",NA,"Males and females","European"
"269","Pancreatic cancer","Triglycerides","MR Egger",17,0.189156168140362,0.419744774624379,0.658690452257771,16.7012447099875,15,0.337035430452503,0.0146857543410886,0.0222539597554383,0.519312592929395,19648918,2009,"Amundadottir L","PanScan1","Cancer",1896,1939,3835,"log odds",NA,"Males and females","European"
"270","Pancreatic cancer","Triglycerides","Weighted median",17,0.0756768612586352,0.293921118551931,0.796813369241273,NA,NA,NA,NA,NA,NA,19648918,2009,"Amundadottir L","PanScan1","Cancer",1896,1939,3835,"log odds",NA,"Males and females","European"
"271","Squamous cell lung cancer","Triglycerides","Inverse variance weighted",37,0.0115945998643728,0.0724919337881628,0.872925730932015,65.6108955997129,36,0.00184651210074563,NA,NA,NA,24880342,2014,"Wang Y","ILCCO","Cancer",3275,15038,18313,"log odds",NA,"Males and females","European"
"272","Squamous cell lung cancer","Triglycerides","MR Egger",37,0.0198694679266179,0.0875440428540578,0.821771140200588,67.4272115289005,35,0.000806584654120954,0.00149576709716834,0.008599708456336,0.862920798494426,24880342,2014,"Wang Y","ILCCO","Cancer",3275,15038,18313,"log odds",NA,"Males and females","European"
"273","Squamous cell lung cancer","Triglycerides","Weighted median",37,0.00103372035720498,0.0632397536808511,0.986958317562232,NA,NA,NA,NA,NA,NA,24880342,2014,"Wang Y","ILCCO","Cancer",3275,15038,18313,"log odds",NA,"Males and females","European"
"274","Thyroid cancer","Triglycerides","Inverse variance weighted",25,-0.360024381148281,0.485726752452806,0.458567550167181,36.176256364096,24,0.0527631224391743,NA,NA,NA,23894154,2013,"Kohler A",NA,"Cancer",649,431,1080,"log odds",NA,"Males and females","European"
"275","Thyroid cancer","Triglycerides","MR Egger",25,-0.325704066688065,0.777493212072601,0.679164148126952,37.7437429473244,23,0.0271310505938706,0.00215564454866365,0.037598894943751,0.954775390876395,23894154,2013,"Kohler A",NA,"Cancer",649,431,1080,"log odds",NA,"Males and females","European"
"276","Thyroid cancer","Triglycerides","Weighted median",25,-0.121343270528011,0.512157627049766,0.81271448297697,NA,NA,NA,NA,NA,NA,23894154,2013,"Kohler A",NA,"Cancer",649,431,1080,"log odds",NA,"Males and females","European"
"277","Coronary heart disease","Triglycerides","Inverse variance weighted",38,-0.128546956450518,0.0329763385759593,9.69274312810819e-05,136.092580484052,37,2.9686247641787e-13,NA,NA,NA,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",60801,123504,184305,"log odds",NA,"Males and females","Mixed"
"278","Coronary heart disease","Triglycerides","MR Egger",38,-0.0662167077709176,0.0346832020286296,0.0642337212479797,106.848290964196,36,6.02374078000037e-09,0.0121841971876484,0.00365266984489204,0.0019832419623462,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",60801,123504,184305,"log odds",NA,"Males and females","Mixed"
"279","Coronary heart disease","Triglycerides","Weighted median",38,-0.0885460628125539,0.0232765312351228,0.000142325366295647,NA,NA,NA,NA,NA,NA,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",60801,123504,184305,"log odds",NA,"Males and females","Mixed"
"280","Myocardial infarction","Triglycerides","Inverse variance weighted",38,-0.132720572652731,0.0318443511480556,3.0756690072148e-05,101.902905951133,37,5.59943715785498e-08,NA,NA,NA,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",43676,128199,171875,"log odds",NA,"Males and females","Mixed"
"281","Myocardial infarction","Triglycerides","MR Egger",38,-0.0845348039464459,0.0353000495468018,0.0219601964603721,88.8810362710754,36,2.29897961869258e-06,0.0093691739503726,0.00369747838679439,0.0157732136468518,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",43676,128199,171875,"log odds",NA,"Males and females","Mixed"
"282","Myocardial infarction","Triglycerides","Weighted median",38,-0.0996783247673069,0.0259225036923069,0.000120433051381245,NA,NA,NA,NA,NA,NA,26343387,2015,"Nikpay","CARDIoGRAMplusC4D","Cardiovascular",43676,128199,171875,"log odds",NA,"Males and females","Mixed"
"283","Type 2 diabetes","Triglycerides","Inverse variance weighted",40,-0.0301691335464824,0.0608749065411398,0.620182102724148,188.89969632998,39,1.4881318949884e-21,NA,NA,NA,24509480,2014,"Mahajan A","DIAGRAM","Diabetes",26488,83964,110452,"log odds",NA,"Males and females","Mixed"
"284","Type 2 diabetes","Triglycerides","MR Egger",40,-0.00691393111790966,0.0754628564236772,0.927480999430162,192.443807274059,38,1.55831807012111e-22,0.00366264707909742,0.00690006764650591,0.598637107757066,24509480,2014,"Mahajan A","DIAGRAM","Diabetes",26488,83964,110452,"log odds",NA,"Males and females","Mixed"
"285","Type 2 diabetes","Triglycerides","Weighted median",40,-0.0624631115467417,0.0338127469832006,0.064700142902953,NA,NA,NA,NA,NA,NA,24509480,2014,"Mahajan A","DIAGRAM","Diabetes",26488,83964,110452,"log odds",NA,"Males and females","Mixed"
"286","Childhood intelligence","Triglycerides","Inverse variance weighted",26,0.0206165147542645,0.0468723291098224,0.660050065923231,20.1449193670635,25,0.739182611427642,NA,NA,NA,23358156,2014,"Benyamin B","SSGAC","Education",NA,NA,12441,"SD",NA,"Males and females","European"
"287","Childhood intelligence","Triglycerides","MR Egger",26,-0.0331008708472513,0.0685200912260955,0.633414715104103,19.829138179436,24,0.706450065967852,-0.00442556945433122,0.00411765008754948,0.293160152205968,23358156,2014,"Benyamin B","SSGAC","Education",NA,NA,12441,"SD",NA,"Males and females","European"
"288","Childhood intelligence","Triglycerides","Weighted median",26,-0.0412895202610731,0.0627301302657333,0.510404006826805,NA,NA,NA,NA,NA,NA,23358156,2014,"Benyamin B","SSGAC","Education",NA,NA,12441,"SD",NA,"Males and females","European"
"289","College completion","Triglycerides","Inverse variance weighted",37,-0.030648841544557,0.0172191200733054,0.075087292278903,32.224068920049,36,0.648846458355871,NA,NA,NA,23722424,2013,"Rietveld CA","SSGAC","Education",20044,75383,95427,"log odds",NA,"Males and females","European"
"290","College completion","Triglycerides","MR Egger",37,-0.029692306570301,0.0204272142831466,0.1549751995699,33.1371807441941,35,0.558268766095825,0.000188596179871263,0.0021667905951517,0.931136255733437,23722424,2013,"Rietveld CA","SSGAC","Education",20044,75383,95427,"log odds",NA,"Males and females","European"
"291","College completion","Triglycerides","Weighted median",37,-0.0324525978721479,0.0213302087486692,0.128149868029734,NA,NA,NA,NA,NA,NA,23722424,2013,"Rietveld CA","SSGAC","Education",20044,75383,95427,"log odds",NA,"Males and females","European"
"292","Years of schooling","Triglycerides","Inverse variance weighted",37,5.03809794381238e-05,0.00747079900799336,0.994619330419216,75.4241245405467,36,0.000130787460031718,NA,NA,NA,27225129,2016,"Okbay","SSGAC","Education",NA,NA,293723,"SD (years)",3.71,"Males and females","European"
"293","Years of schooling","Triglycerides","MR Egger",37,-0.00220191058658414,0.00895979935929172,0.807307770209265,77.0979943748779,35,5.30702629305292e-05,-0.000405343500247007,0.00086734269964385,0.643153649413911,27225129,2016,"Okbay","SSGAC","Education",NA,NA,293723,"SD (years)",3.71,"Males and females","European"
"294","Years of schooling","Triglycerides","Weighted median",37,-0.00505635119595591,0.00609473916383855,0.406750538974014,NA,NA,NA,NA,NA,NA,27225129,2016,"Okbay","SSGAC","Education",NA,NA,293723,"SD (years)",3.71,"Males and females","European"
"295","2hr glucose","Triglycerides","Inverse variance weighted",37,-0.0642480363264746,0.0377423653476936,0.0887030776199819,58.7996672057347,36,0.00959614999082572,NA,NA,NA,20081857,2010,"Saxena R","MAGIC","Glycemic",NA,NA,15234,"mmol/L",1.268007699,"Males and females","European"
"296","2hr glucose","Triglycerides","MR Egger",37,-0.089656390716584,0.0449451788858345,0.0538984769633636,58.6719698472298,35,0.00733415494811944,-0.00453803087630283,0.00437005637441408,0.306187507658082,20081857,2010,"Saxena R","MAGIC","Glycemic",NA,NA,15234,"mmol/L",1.268007699,"Males and females","European"
"297","2hr glucose","Triglycerides","Weighted median",37,-0.0808128628688392,0.0381400420397153,0.0341035118227627,NA,NA,NA,NA,NA,NA,20081857,2010,"Saxena R","MAGIC","Glycemic",NA,NA,15234,"mmol/L",1.268007699,"Males and females","European"
"298","AUCins","Triglycerides","Inverse variance weighted",36,-0.00335220656445589,0.0426373201598715,0.937333751285835,31.7407850500418,35,0.626244771463438,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4324,"SD (mU*min/l)",NA,"Males and females","European"
"299","AUCins","Triglycerides","MR Egger",36,0.00305220587195676,0.0505646307378213,0.952220373742905,32.6188228885011,34,0.53529367819307,0.00119471895420587,0.00507062974682501,0.81514453404924,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4324,"SD (mU*min/l)",NA,"Males and females","European"
"300","AUCins","Triglycerides","Weighted median",36,-0.0133559639319406,0.0521419987189781,0.797838110583377,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4324,"SD (mU*min/l)",NA,"Males and females","European"
"301","AUCins/AUCglu","Triglycerides","Inverse variance weighted",36,0.0277236985021376,0.0427202002505382,0.516364271245458,31.616248742097,35,0.632247279225684,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4213,"SD",NA,"Males and females","European"
"302","AUCins/AUCglu","Triglycerides","MR Egger",36,0.03196546188319,0.0506282840733544,0.532017129936683,32.5217651105231,34,0.540096490867875,0.000800120514381925,0.00512505150617876,0.876862115514131,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4213,"SD",NA,"Males and females","European"
"303","AUCins/AUCglu","Triglycerides","Weighted median",36,0.0289514392747145,0.0487378360398815,0.552496130090147,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4213,"SD",NA,"Males and females","European"
"304","Corrected insulin response","Triglycerides","Inverse variance weighted",36,0.117499982619426,0.0448657671572577,0.00882078952412976,42.2730234274309,35,0.185670430185064,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,5318,"SD",NA,"Males and females","European"
"305","Corrected insulin response","Triglycerides","MR Egger",36,0.140628088460028,0.0537290790205562,0.0131312721343981,42.7275755866028,34,0.144866535253618,0.00415197750561438,0.00524075551357003,0.433709360345642,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,5318,"SD",NA,"Males and females","European"
"306","Corrected insulin response","Triglycerides","Weighted median",36,0.125622863623671,0.0493614195320001,0.0109290095927139,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,5318,"SD",NA,"Males and females","European"
"307","Fasting glucose","Triglycerides","Inverse variance weighted",37,-0.00200828336626973,0.00184198951648707,0.27559005286512,27.4755570229418,36,0.845359108324841,NA,NA,NA,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,58074,"mmol/L",0.7302996471,"Males and females","European"
"308","Fasting glucose","Triglycerides","MR Egger",37,-0.00148643314847783,0.002195887484771,0.502908453836659,28.0700002834975,35,0.790776166902868,9.35970125710203e-05,0.000214403413583655,0.665121738998691,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,58074,"mmol/L",0.7302996471,"Males and females","European"
"309","Fasting glucose","Triglycerides","Weighted median",37,-0.00224280110594176,0.00223252647387152,0.315088416203732,NA,NA,NA,NA,NA,NA,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,58074,"mmol/L",0.7302996471,"Males and females","European"
"310","Fasting insulin","Triglycerides","Inverse variance weighted",37,-0.000790368072972493,0.00154586327968684,0.60915541719105,32.9520855500818,36,0.61433436326008,NA,NA,NA,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,51750,"log pmol/L",0.79,"Males and females","European"
"311","Fasting insulin","Triglycerides","MR Egger",37,0.000580857917176044,0.0018236298076767,0.751985449912072,31.8846030563205,35,0.61929453052537,0.00027251324653598,0.00019226526080744,0.165212617769283,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,51750,"log pmol/L",0.79,"Males and females","European"
"312","Fasting insulin","Triglycerides","Weighted median",37,-0.000168684693696275,0.0018253524418352,0.926370608178956,NA,NA,NA,NA,NA,NA,22581228,2012,"Manning AK","MAGIC","Glycemic",NA,NA,51750,"log pmol/L",0.79,"Males and females","European"
"313","Fasting proinsulin","Triglycerides","Inverse variance weighted",37,-0.00488125079619189,0.0170705285612349,0.77491941662503,38.3574044577106,36,0.363082249054329,NA,NA,NA,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,10701,"log pmol/L",0.81,"Males and females","European"
"314","Fasting proinsulin","Triglycerides","MR Egger",37,0.00221094330447235,0.0204106269154546,0.914357992892923,38.987962933362,35,0.29503774865738,0.00136013412428092,0.00210433570607123,0.522269728299515,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,10701,"log pmol/L",0.81,"Males and females","European"
"315","Fasting proinsulin","Triglycerides","Weighted median",37,-0.00931359854140515,0.0188354208494357,0.620972489167105,NA,NA,NA,NA,NA,NA,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,10701,"log pmol/L",0.81,"Males and females","European"
"316","HbA1C","Triglycerides","Inverse variance weighted",37,-0.0210444761396475,0.0183818685619142,0.25227143619572,74.5850132602973,36,0.000165828756632364,NA,NA,NA,20858683,2010,"Soranzo N","MAGIC","Glycemic",NA,NA,46368,"%",0.5342847774,"Males and females","European"
"317","HbA1C","Triglycerides","MR Egger",37,-0.0122419818304445,0.0220591365298747,0.582450313788952,75.5569082316503,35,8.32991292802379e-05,0.0015898233146011,0.00216965390642379,0.468587572857848,20858683,2010,"Soranzo N","MAGIC","Glycemic",NA,NA,46368,"%",0.5342847774,"Males and females","European"
"318","HbA1C","Triglycerides","Weighted median",37,-0.0291337374817082,0.0157259992174791,0.0639419806179411,NA,NA,NA,NA,NA,NA,20858683,2010,"Soranzo N","MAGIC","Glycemic",NA,NA,46368,"%",0.5342847774,"Males and females","European"
"319","HOMA-B","Triglycerides","Inverse variance weighted",37,-0.00475779487910943,0.00947956203601066,0.615737665431335,64.8522605028326,36,0.00223726872199466,NA,NA,NA,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA",0.9573841,"Males and females","European"
"320","HOMA-B","Triglycerides","MR Egger",37,0.0048836384994771,0.0110889540342978,0.662351384947886,62.210792802243,35,0.00310661690154457,0.0016850254617576,0.00105966835051719,0.120795729879563,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA",0.9573841,"Males and females","European"
"321","HOMA-B","Triglycerides","Weighted median",37,-0.00316081468512225,0.00810614929321286,0.696589779018642,NA,NA,NA,NA,NA,NA,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA",0.9573841,"Males and females","European"
"322","HOMA-IR","Triglycerides","Inverse variance weighted",37,0.0019897970338951,0.0195200195398398,0.918807299163684,92.9868161802538,36,6.20534844944776e-07,NA,NA,NA,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA",0.6697011,"Males and females","European"
"323","HOMA-IR","Triglycerides","MR Egger",37,0.0164510967624924,0.0231950953026457,0.482868208959913,92.204296210853,35,4.80674089108764e-07,0.00255304719372052,0.00223442737888961,0.260962629774317,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA",0.6697011,"Males and females","European"
"324","HOMA-IR","Triglycerides","Weighted median",37,-0.00293847228824354,0.0141187625380295,0.835131099980381,NA,NA,NA,NA,NA,NA,20081858,2011,"Dupuis J","MAGIC","Glycemic",NA,NA,46186,"log HOMA",0.6697011,"Males and females","European"
"325","Incremental insulin at 30 minutes","Triglycerides","Inverse variance weighted",36,0.0240040904941516,0.0445493522060546,0.590010929785997,39.9415589623302,35,0.259847952399913,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4447,"SD",NA,"Males and females","European"
"326","Incremental insulin at 30 minutes","Triglycerides","MR Egger",36,0.00883453440200549,0.0532960970611938,0.869325029950762,40.7773862870323,34,0.19695396703409,-0.00287357285741285,0.00540556411627607,0.598462650373455,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4447,"SD",NA,"Males and females","European"
"327","Incremental insulin at 30 minutes","Triglycerides","Weighted median",36,0.0233494468088397,0.0497124312605517,0.63857629822254,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4447,"SD",NA,"Males and females","European"
"328","Insulin at 30 minutes","Triglycerides","Inverse variance weighted",36,0.0558677840367223,0.0481492054025881,0.245924478249828,44.0456522214463,35,0.140482023733291,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4409,"SD",NA,"Males and females","European"
"329","Insulin at 30 minutes","Triglycerides","MR Egger",36,0.0469518788459751,0.057999627081259,0.423845262715176,45.2335352448725,34,0.0942932860789004,-0.00163979976035175,0.00576661866188253,0.7778587160665,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4409,"SD",NA,"Males and females","European"
"330","Insulin at 30 minutes","Triglycerides","Weighted median",36,0.0605913667224173,0.0511328481200653,0.236025630246813,NA,NA,NA,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,4409,"SD",NA,"Males and females","European"
"331","Insulin disposition index","Triglycerides","Inverse variance weighted",36,0.11312198233284,0.0490274988507299,0.021037153618227,50.4577229314643,35,0.0439416164666163,NA,NA,NA,24699409,2014,"Prokopenko","MAGIC","Glycemic",NA,NA,5130,"SD",NA,"Males and females","European"
